"CustomerID","Recency","Frequency","Monetary","First_Purchase","Last_Purchase","R_Score","F_Score","M_Score","RFM_Score","RFM_Category","Segment"
12346,326.117361111111,1,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,1,2,5,8,"125","At Risk"
12347,2.87361111111111,7,4310,2010-12-07 14:57:00,2011-12-07 15:52:00,5,5,5,15,"555","Champions"
12348,75.9840277777778,4,1797.24,2010-12-16 19:09:00,2011-09-25 13:13:00,2,4,4,10,"244","Needing Attention"
12349,19.1243055555556,1,1757.55,2011-11-21 09:51:00,2011-11-21 09:51:00,4,2,4,10,"424","Potential Loyalists"
12350,310.867361111111,1,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,1,2,2,5,"122","At Risk"
12352,36.9256944444444,8,2506.04,2011-02-16 12:33:00,2011-11-03 14:37:00,3,5,5,13,"355","Champions"
12353,204.79375,1,89,2011-05-19 17:47:00,2011-05-19 17:47:00,1,2,1,4,"121","Hibernating"
12354,232.985416666667,1,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,1,2,4,7,"124","At Risk"
12355,214.959027777778,1,459.4,2011-05-09 13:49:00,2011-05-09 13:49:00,1,2,2,5,"122","At Risk"
12356,23.1736111111111,3,2811.43,2011-01-18 09:50:00,2011-11-17 08:40:00,4,4,5,13,"445","Champions"
12357,33.8631944444444,1,6207.67,2011-11-06 16:07:00,2011-11-06 16:07:00,3,2,5,10,"325","Potential Loyalists"
12358,2.1,2,1168.06,2011-07-12 10:04:00,2011-12-08 10:26:00,5,3,4,12,"534","Loyal Customers"
12359,58.0020833333333,4,6372.58,2011-01-12 12:43:00,2011-10-13 12:47:00,3,4,5,12,"345","Potential Loyalists"
12360,52.8944444444444,3,2662.06,2011-05-23 09:43:00,2011-10-18 15:22:00,3,4,5,12,"345","Potential Loyalists"
12361,287.957638888889,1,189.9,2011-02-25 13:51:00,2011-02-25 13:51:00,1,2,1,4,"121","Hibernating"
12362,3.88194444444444,10,5226.23,2011-02-17 10:30:00,2011-12-06 15:40:00,5,5,5,15,"555","Champions"
12363,110.105555555556,2,552,2011-04-11 13:29:00,2011-08-22 10:18:00,2,3,3,8,"233","Needing Attention"
12364,8.10277777777778,4,1313.1,2011-08-19 15:24:00,2011-12-02 10:22:00,5,4,4,13,"544","Champions"
12365,291.948611111111,2,641.38,2011-02-21 13:51:00,2011-02-21 14:04:00,1,3,3,7,"133","Needing Attention"
12367,4.83472222222222,1,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,5,2,1,8,"521","Others"
12370,51.9159722222222,4,3545.69,2010-12-14 12:58:00,2011-10-19 14:51:00,3,4,5,12,"345","Potential Loyalists"
12371,45.1069444444444,2,1887.96,2011-10-11 10:43:00,2011-10-26 10:16:00,3,3,4,10,"334","Potential Loyalists"
12372,72.0263888888889,3,1298.04,2011-02-16 12:46:00,2011-09-29 12:12:00,3,4,4,11,"344","Potential Loyalists"
12373,311.986111111111,1,364.6,2011-02-01 13:10:00,2011-02-01 13:10:00,1,2,2,5,"122","At Risk"
12374,25.8840277777778,1,742.93,2011-11-14 15:37:00,2011-11-14 15:37:00,4,2,3,9,"423","Potential Loyalists"
12375,11.0930555555556,2,457.5,2011-09-02 14:23:00,2011-11-29 10:36:00,5,3,2,10,"532","Potential Loyalists"
12377,315.878472222222,2,1628.12,2010-12-20 09:37:00,2011-01-28 15:45:00,1,3,4,8,"134","Needing Attention"
12378,130.094444444444,1,4008.62,2011-08-02 10:34:00,2011-08-02 10:34:00,2,2,5,9,"225","At Risk"
12379,82.1118055555555,2,852.24,2011-06-22 16:32:00,2011-09-19 10:09:00,2,3,3,8,"233","Needing Attention"
12380,22.0576388888889,4,2724.81,2011-06-07 09:49:00,2011-11-18 11:27:00,4,4,5,13,"445","Champions"
12381,5.00416666666667,5,1845.31,2011-08-12 09:57:00,2011-12-05 12:44:00,5,4,4,13,"544","Champions"
12383,185.2,5,1850.56,2010-12-22 14:28:00,2011-06-08 08:02:00,1,4,4,9,"144","Needing Attention"
12384,29.1743055555556,2,585.27,2011-08-10 11:23:00,2011-11-11 08:39:00,4,3,3,10,"433","Loyal Customers"
12386,338.009027777778,2,401.9,2010-12-08 09:53:00,2011-01-06 12:37:00,1,3,2,6,"132","At Risk"
12388,16.0138888888889,6,2780.66,2011-01-17 11:12:00,2011-11-24 12:30:00,4,5,5,14,"455","Champions"
